GDAY_DS,ER,WLS
2020-07-21,7,1
2020-07-24,4,1
2020-07-26,4,1
2020-07-27,5,
2020-07-28,24,0
2020-07-29,11,0
2020-07-30,9,0
2020-07-31,11,0
2020-08-01,11,0
2020-08-04,8,0
2020-08-06,6,0
2020-08-07,2,0
2020-08-08,2,1
2020-08-11,6,0
2020-08-12,1,1
2020-08-13,6,1
2020-08-14,7,0
2020-08-15,10,0
2020-08-16,8,0
2020-08-18,3,1
2020-08-19,4,1
2020-08-20,5,0
2020-08-21,5,1
2020-08-22,6,0
2020-08-22,1,1
2020-08-25,7,1
2020-08-26,3,0
2020-08-27,4,1
2020-08-28,11,0
2020-08-29,9,0
2020-08-30,7,0
2020-09-01,11,0
2020-09-03,6,0
2020-09-04,10,0
2020-09-04,7,0
2020-09-05,5,0
2020-09-06,9,0
2020-09-08,16,0
2020-09-09,11,0
2020-09-10,1,1
2020-09-11,3,1
2020-09-12,1,1
2020-09-13,1,1
2020-09-15,1,1
2020-09-16,6,1
2020-09-17,3,0
2020-09-18,9,0
2020-09-19,1,0
2020-09-20,6,0
